Complaint Text,Category
No power supply in my area,Electricity
Water logging on streets due to poor drainage,Roads
Loan application pending for over a month,Bank
Road full of potholes,Roads
Garbage not collected for days,Sanitation
Frequent electricity cuts happening daily,Electricity
Broken road causing accidents,Roads
Broken road causing accidents,Roads
Internet banking not working properly,Bank
Mosquito breeding due to stagnant water,Sanitation
Frequent electricity cuts happening daily,Electricity
Heavy traffic jam every morning,Roads
ATM is not dispensing cash,Bank
Water pressure is very low,Water
ATM is not dispensing cash,Bank
Street cleaning is not happening regularly,Sanitation
Street lights are not functioning,Electricity
Overflowing sewage creating smell,Sanitation
Broken road causing accidents,Roads
No drinking water available,Water
No drinking water available,Water
Transformer is sparking and dangerous,Electricity
Transformer is sparking and dangerous,Electricity
Overflowing sewage creating smell,Sanitation
Frequent electricity cuts happening daily,Electricity
No power supply in my area,Electricity
Contaminated water being supplied,Water
No drinking water available,Water
Frequent electricity cuts happening daily,Electricity
Frequent electricity cuts happening daily,Electricity
Mosquito breeding due to stagnant water,Sanitation
Water logging on streets due to poor drainage,Roads
Voltage fluctuations damaging appliances,Electricity
Broken road causing accidents,Roads
Mosquito breeding due to stagnant water,Sanitation
Voltage fluctuations damaging appliances,Electricity
Mosquito breeding due to stagnant water,Sanitation
Credit card not received after approval,Bank
Credit card not received after approval,Bank
Need speed breakers on the main road,Roads
Heavy traffic jam every morning,Roads
Frequent electricity cuts happening daily,Electricity
Contaminated water being supplied,Water
Water pipeline leakage causing wastage,Water
Internet banking not working properly,Bank
Mosquito breeding due to stagnant water,Sanitation
Dustbins are missing in my locality,Sanitation
Street lights are not functioning,Electricity
Street lights are not functioning,Electricity
Voltage fluctuations damaging appliances,Electricity
Water pressure is very low,Water
Water pressure is very low,Water
Overflowing sewage creating smell,Sanitation
Street lights are not functioning,Electricity
Overflowing sewage creating smell,Sanitation
Contaminated water being supplied,Water
Garbage not collected for days,Sanitation
Dustbins are missing in my locality,Sanitation
Garbage not collected for days,Sanitation
Overflowing sewage creating smell,Sanitation
No drinking water available,Water
Frequent electricity cuts happening daily,Electricity
Voltage fluctuations damaging appliances,Electricity
Unauthorized transaction on my account,Bank
Broken road causing accidents,Roads
Credit card not received after approval,Bank
Garbage not collected for days,Sanitation
Water logging on streets due to poor drainage,Roads
Credit card not received after approval,Bank
Water logging on streets due to poor drainage,Roads
Heavy traffic jam every morning,Roads
Water pipeline leakage causing wastage,Water
No power supply in my area,Electricity
Credit card not received after approval,Bank
Garbage not collected for days,Sanitation
ATM is not dispensing cash,Bank
Garbage not collected for days,Sanitation
Transformer is sparking and dangerous,Electricity
Dustbins are missing in my locality,Sanitation
Contaminated water being supplied,Water
Garbage not collected for days,Sanitation
Need speed breakers on the main road,Roads
Water pipeline leakage causing wastage,Water
Street cleaning is not happening regularly,Sanitation
Loan application pending for over a month,Bank
ATM is not dispensing cash,Bank
Transformer is sparking and dangerous,Electricity
Street cleaning is not happening regularly,Sanitation
Loan application pending for over a month,Bank
Mosquito breeding due to stagnant water,Sanitation
Credit card not received after approval,Bank
Credit card not received after approval,Bank
Internet banking not working properly,Bank
Dustbins are missing in my locality,Sanitation
Loan application pending for over a month,Bank
Garbage not collected for days,Sanitation
Water supply is irregular,Water
Broken road causing accidents,Roads
Street lights are not functioning,Electricity
No power supply in my area,Electricity
